nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
João  Almeida;João; Almeida;male;Portugal;https://www.instagram.com/joao.almeida.cyclist/;null;null;null;986;47;3720;2368;3874;421;null;null;477;63;178;1998-08-05;UAE Team Emirates - XRG
Igor  Arrieta;Igor; Arrieta;male;Spain;https://www.instagram.com/igorarrieta8/;https://www.strava.com/athletes/20793265;null;null;84;0;156;14;150;120;null;null;462;64;182;2002-12-08;UAE Team Emirates - XRG
Juan  Ayuso;Juan; Ayuso;male;Spain;https://www.instagram.com/juann_ayuso/;https://www.strava.com/athletes/10780095;null;null;640;2;1687;1043;1615;810;null;null;821;65;183;2002-09-16;UAE Team Emirates - XRG
Filippo  Baroncini;Filippo; Baroncini;male;Italy;https://www.instagram.com/filippobaroncini/;https://www.strava.com/pros/10383106?hl=fr-FR;null;null;334;98;138;278;212;455;null;null;178;74;188;2000-08-26;UAE Team Emirates - XRG
Sjoerd  Bax;Sjoerd; Bax;male;Netherlands;https://www.instagram.com/sjoerdbax/;https://www.strava.com/athletes/5706594;null;null;261;72;92;198;305;301;null;null;1011;78;185;1996-01-06;Q36.5 Pro Cycling Team
Mikkel  Bjerg;Mikkel; Bjerg;male;Denmark;https://www.instagram.com/mikkel_bjerg98/;https://www.strava.com/pros/mbkbjerg;null;null;322;126;116;2295;429;466;null;null;111;78;191;1998-11-03;UAE Team Emirates - XRG
Jan  Christen;Jan; Christen;male;Switzerland;https://instagram.com/janchristen04;https://www.strava.com/athletes/31134894;null;null;218;31;168;175;79;408;null;null;101;60;183;2004-06-26;UAE Team Emirates - XRG
Alessandro  Covi;Alessandro; Covi;male;Italy;https://www.instagram.com/alessandro_covi/;https://www.strava.com/athletes/9286245;null;null;587;48;597;6;187;846;null;null;483;66;180;1998-09-28;UAE Team Emirates - XRG
Isaac del Toro;Isaac;del Toro;male;Mexico;https://www.instagram.com/isaac_deltoro_romero1/;https://www.strava.com/athletes/44723719;null;null;276;1;434;139;624;110;null;null;57;64;180;2003-11-27;UAE Team Emirates - XRG
Finn  Fisher-Black;Finn; Fisher-Black;male;New Zealand;https://www.instagram.com/finnfisherblack/;https://www.strava.com/athletes/2099192;null;null;418;28;274;435;491;139;null;null;169;73;189;2001-12-21;Red Bull - BORA - hansgrohe
Felix  Großschartner;Felix; Großschartner;male;Austria;https://www.instagram.com/felixgro93;https://www.strava.com/pros/locoloco;null;null;1404;85;1436;1208;2602;477;null;null;1199;64;184;1993-12-23;UAE Team Emirates - XRG
Marc  Hirschi;Marc; Hirschi;male;Switzerland;https://www.instagram.com/marchirschi/;https://www.strava.com/pros/marc_hirschi?hl=fr-FR;null;null;2172;75;2072;334;1417;4722;null;null;269;61;174;1998-08-24;Tudor Pro Cycling Team
Álvaro José  Hodeg;Álvaro;José  Hodeg;male;Colombia;https://www.instagram.com/alvarohodegchagui/;https://www.strava.com/athletes/9311914;null;null;303;1564;0;49;75;702;null;null;1175;76;186;1996-09-16;null
Rafał  Majka;Rafał; Majka;male;Poland;https://www.instagram.com/majkarafalofficial/;null;null;null;1906;40;6264;919;5561;1183;null;null;356;62;173;1989-09-12;UAE Team Emirates - XRG
Brandon  McNulty;Brandon; McNulty;male;United States;https://www.instagram.com/brandon_mcnulty/?hl=nl;https://www.strava.com/athletes/1126469;null;null;927;54;1800;2105;2153;949;null;null;680;69;183;1998-04-02;UAE Team Emirates - XRG
António  Morgado;António; Morgado;male;Portugal;https://www.instagram.com/antonio.morgado_2004;https://www.strava.com/athletes/29016945;null;null;174;78;79;48;87;378;null;null;129;71;180;2004-01-28;UAE Team Emirates - XRG
Domen  Novak;Domen; Novak;male;Slovenia;https://www.instagram.com/domen_novak_lojz/;https://www.strava.com/athletes/667297;null;null;75;19;269;28;475;76;null;null;570;70;181;1995-07-12;UAE Team Emirates - XRG
Ivo  Oliveira;Ivo; Oliveira;male;Portugal;https://www.instagram.com/ivoliveira1/;https://www.strava.com/athletes/3520134;null;null;217;82;24;520;185;100;null;null;498;68;185;1996-09-05;UAE Team Emirates - XRG
Rui  Oliveira;Rui; Oliveira;male;Portugal;https://www.instagram.com/roliveira57/;https://www.strava.com/athletes/6274194;null;null;532;372;44;26;151;526;null;null;271;66;183;1996-09-05;UAE Team Emirates - XRG
Tadej  Pogačar;Tadej; Pogačar;male;Slovenia;https://www.instagram.com/tadejpogacar/;https://www.strava.com/athletes/6021015;null;null;3310;119;7913;2533;6344;6177;null;null;17;66;176;1998-09-21;UAE Team Emirates - XRG
Nils  Politt;Nils; Politt;male;Germany;https://www.instagram.com/nilspolitt;https://www.strava.com/athletes/npolitt;null;null;1423;472;152;1244;1015;2206;null;null;1200;80;192;1994-03-06;UAE Team Emirates - XRG
Pavel  Sivakov;Pavel; Sivakov;male;France;https://www.instagram.com/pavel_sivakov/;https://www.strava.com/pros/1808024;null;null;594;23;1960;506;2410;1013;null;null;878;70;188;1997-07-11;UAE Team Emirates - XRG
Marc  Soler;Marc; Soler;male;Spain;https://www.instagram.com/solermarc93/;https://www.strava.com/pros/1996868;null;null;1194;8;2858;764;2396;292;null;null;1003;68;186;1993-11-22;UAE Team Emirates - XRG
Diego  Ulissi;Diego; Ulissi;male;Italy;https://www.instagram.com/diego.ulissi;null;null;null;4464;124;4532;1117;5500;5230;null;null;118;63;175;1989-07-15;XDS Astana Team
Jay  Vine;Jay; Vine;male;Australia;https://www.instagram.com/jay_vine3/;https://www.strava.com/athletes/4057312;null;null;314;9;900;805;748;66;null;null;1277;69;184;1995-11-16;UAE Team Emirates - XRG
Michael  Vink;Michael; Vink;male;New Zealand;https://www.instagram.com/michael.vink/;https://www.strava.com/athletes/291164;null;null;22;39;41;306;188;69;null;null;2678;73;190;1991-11-22;null
Tim  Wellens;Tim; Wellens;male;Belgium;https://www.instagram.com/tim.wellens;https://www.strava.com/pros/twellens;null;null;2758;178;2290;1406;4226;3917;null;null;150;71;182;1991-05-10;UAE Team Emirates - XRG
Adam  Yates;Adam; Yates;male;Great Britain;https://www.instagram.com/adamyates7;http://www.strava.com/pros/259171;null;null;1934;64;7018;1213;6758;2299;null;null;141;58;173;1992-08-07;UAE Team Emirates - XRG
Jonas  Vingegaard;Jonas; Vingegaard;male;Denmark;https://www.instagram.com/jonasvingegaard/;https://www.strava.com/athletes/10495058;null;null;1379;34;4187;1884;4686;320;null;null;123;58;175;1996-12-10;Team Visma | Lease a Bike
Wout van Aert;Wout;van Aert;male;Belgium;https://www.instagram.com/woutvanaert/;https://www.strava.com/pros/189040;null;null;4221;1886;2044;2944;1171;7194;null;null;64;78;190;1994-09-15;Team Visma | Lease a Bike
Edoardo  Affini;Edoardo; Affini;male;Italy;https://www.instagram.com/edoardo_affini/;https://www.strava.com/pros/37167909;null;null;136;209;6;1853;254;152;null;null;173;80;190;1996-06-24;Team Visma | Lease a Bike
Dylan van Baarle;Dylan;van Baarle;male;Netherlands;https://www.instagram.com/dylanvanbaarle;https://www.strava.com/athletes/dvanbaarle;null;null;1470;176;514;1298;1429;2652;null;null;694;78;189;1992-05-21;Team Visma | Lease a Bike
Tiesj  Benoot;Tiesj; Benoot;male;Belgium;https://www.instagram.com/tiesj;https://www.strava.com/pros/1128302;null;null;2866;376;2621;83;1912;4887;null;null;686;72;190;1994-03-11;Team Visma | Lease a Bike
Loe van Belle;Loe;van Belle;male;Netherlands;https://www.instagram.com/loe_v_b/;https://www.strava.com/athletes/4698922;null;null;60;85;28;95;22;56;null;null;1429;;184;2002-01-24;Team Visma | Lease a Bike
Koen  Bouwman;Koen; Bouwman;male;Netherlands;https://www.instagram.com/koen.bouwman;https://www.strava.com/pros/1993533;null;null;366;42;614;447;964;156;null;null;1981;60;178;1993-12-02;Team Jayco AlUla
Mick van Dijke;Mick;van Dijke;male;Netherlands;https://www.instagram.com/m.dijke/;https://www.strava.com/athletes/26465206;null;null;232;210;54;259;306;157;null;null;463;74;190;2000-03-15;Red Bull - BORA - hansgrohe
Tim van Dijke;Tim;van Dijke;male;Netherlands;https://www.instagram.com/iamtimvandijke/;https://strava.com/athletes/35680957;null;null;126;253;39;347;124;260;null;null;297;74;189;2000-03-15;Red Bull - BORA - hansgrohe
Robert  Gesink;Robert; Gesink;male;Netherlands;https://www.instagram.com/robertgesink;http://www.strava.com/pros/1216273;null;null;1400;30;4250;1196;5209;2888;null;null;364;70;190;1986-05-31;null
Thomas  Gloag;Thomas; Gloag;male;Great Britain;https://www.instagram.com/tomgloag/;null;null;null;88;14;241;0;193;58;null;null;2308;60;181;2001-09-13;Team Visma | Lease a Bike
Matteo  Jorgenson;Matteo; Jorgenson;male;United States;https://www.instagram.com/matteojorgenson/;https://www.strava.com/athletes/557974;null;null;1006;107;1363;494;1642;776;null;null;1041;69;190;1999-07-01;Team Visma | Lease a Bike
Wilco  Kelderman;Wilco; Kelderman;male;Netherlands;https://www.instagram.com/w1lcokelderman/;https://www.strava.com/pros/wilco_kelderman;null;null;2492;84;4954;2687;6009;754;null;null;655;65;185;1991-03-25;Team Visma | Lease a Bike
Olav  Kooij;Olav; Kooij;male;Netherlands;https://www.instagram.com/olavkooij/?hl=nl;null;null;null;767;2600;48;72;560;1552;null;null;420;72;184;2001-10-17;Team Visma | Lease a Bike
Steven  Kruijswijk;Steven; Kruijswijk;male;Netherlands;https://www.instagram.com/stevenkruijswijk;https://www.strava.com/athletes/skruijswijk;null;null;1318;16;3977;1440;4454;344;null;null;1069;63;178;1987-06-07;Team Visma | Lease a Bike
